Placa;Motor;Tipo de transmisión;Tipo de combustible;Modelo;Marca;Observaciones;Kilometraje;Línea;Categoría
LFWO690;MOT789123;Automatica;Gasolina;2023;Mercedes-Benz;Interior espacioso y lujoso con asientos de cuero y detalles en madera.;11000;S-Class;automoviles
HJKL123;9KL567890;Manual;Diesel;2018;Toyota;Sistema de sonido de alta gama con altavoces premium y conectividad Bluetooth.;25000;Corolla;camionetas
QWER456;3DFG567890;Automatica;Hibrido;2021;Honda;Amplio maletero con capacidad para todas tus necesidades de carga.;15000;Civic;electricos
UIOP789;2FGR567890;Automatica;Gasolina;2019;BMW;Suave y comoda conducción gracias a la suspensión ajustable.;30000;7 Series;deportivos
ASDF234;8FGH567890;Manual;Diesel;2017;Toyota;Tecnología avanzada de asistencia al conductor para una experiencia de manejo segura y cómoda.;20000;Fiesta;camionetas
ZXCV567;6SDF567890;Automatica;Gasolina;2022;Honda;Luces LED adaptativas que iluminan perfectamente el camino.;8000;A4;automoviles
GHJK890;5HJK567890;Manual;Gasolina;2016;BMW;Sistema de navegación integrado con pantalla táctil de alta resolución.;40000;Spark;deportivos
POIU567;1SDR567890;Automatica;Hibrido;2020;Mercedes-Benz;Climatizador automático de doble zona para un viaje siempre agradable.;22000;Accent;electricos
NBVC890;2YTR567890;Manual;Diesel;2018;Toyota;Asientos delanteros con calefacción y ventilación para mayor confort en cualquier clima.;18000;Golf;camionetas
MNBV456;7GTY567890;Automatica;Gasolina;2019;Honda;Funciones de conducción autónomas para relajarte en viajes largos.;27000;Optima;automoviles
POIU890;6HJK567890;Manual;Gasolina;2017;BMW;Techo panorámico que brinda una sensación de amplitud y luminosidad en el interior.;35000;Mazda3;deportivos
TYUI234;8BGT567890;Automatica;Diesel;2021;Mercedes-Benz;Tapicería de alta calidad y detalles de diseño elegantes en todo el habitáculo.;13000;Altima;electricos
ZXCV123;2GHJ567890;Automatica;Gasolina;2023;Toyota;Sistema de entretenimiento para pasajeros con pantallas individuales y auriculares inalámbricos.;5000;Model S;camionetas
QWER789;3FGH567890;Manual;Hibrido;2020;Honda;Conectividad Apple CarPlay y Android Auto para acceder fácilmente a tus aplicaciones favoritas.;24000;Impreza;electricos
UIOP345;9LKH567890;Automatica;Gasolina;2018;BMW;Sistema de asistencia de estacionamiento para facilitar las maniobras en espacios reducidos.;28000;XJ;deportivos
ASDF567;1BNM567890;Manual;Gasolina;2019;Mercedes-Benz;Espejos retrovisores exteriores con ajuste eléctrico y función de plegado automático.;32000;Discovery;automoviles
HJKL890;4FGH567890;Automatica;Diesel;2017;Toyota;Sistema de iluminación ambiental con varios colores para personalizar el ambiente interior.;37000;XC90;camionetas
MNBV890;2BNM567890;Automatica;Gasolina;2022;Honda;Sensores de lluvia y luces que se activan automáticamente para una conducción más segura.;15000;911;electricos
TYUI567;1BNM567890;Manual;Hibrido;2019;BMW;Acceso sin llave y arranque por botón para mayor comodidad y seguridad.;26000;RX;deportivos
POIU234;8GHJ567890;Automatica;Diesel;2023;Mercedes-Benz;Diseño aerodinámico y elegante que no pasa desapercibido en la carretera.;10000;Mirage;automoviles
